from_id,to_id,walk_d
5927605,5927605,0
5927605,5927606,548
5927605,5929422,627
5927605,5929423,783
5927605,5923964,783
5927605,5925784,627
5927605,5925785,627
5927605,5925786,783
5927605,5927603,783
5927605,5927604,627
5927605,5929421,783
5927606,5927605,548
5927606,5927606,0
5927606,5923965,783
5927606,5925785,783
5927606,5925786,627
5927606,5925787,705
5929422,5927605,627
5929422,5929422,0
5929422,5929423,470
5929422,5929424,627
5929422,5931239,627
5929422,5931240,548
5929422,5931241,783
5929422,5927603,783
5929422,5927604,627
5929422,5929421,627
5929423,5927605,783
5929423,5929422,470
5929423,5929423,0
5929423,5929424,470
5929423,5929425,705
5929423,5931239,705
5929423,5931240,627
5929423,5927604,783
5929423,5929421,783
5929424,5929422,627
5929424,5929423,470
5929424,5929424,0
5929424,5929426,705
5929424,5931240,783
5929425,5929423,705
5929425,5929425,0
5929425,5929426,470
5929425,5929427,705
5929425,5931242,548
5929426,5929424,705
5929426,5929425,470
5929426,5929426,0
5929426,5929427,548
5929426,5929428,705
5929426,5931242,705
5929426,5931243,783
5929427,5929425,705
5929427,5929426,548
5929427,5929427,0
5929427,5929428,392
5929427,5929429,783
5929428,5929426,705
5929428,5929427,392
5929428,5929428,0
5929428,5929429,548
5929428,5931246,783
5929428,5929430,783
5929429,5929427,783
5929429,5929428,548
5929429,5929429,0
5929429,5931245,783
5929429,5931246,392
5929429,5933061,783
5929429,5933062,783
5929429,5927610,705
5929429,5927611,705
5929429,5927612,627
5929429,5929430,470
5929429,5929431,783
5929429,5931247,548
5929429,5931248,783
5931237,5931237,0
5931237,5931238,470
5931237,5931239,783
5931237,5933051,783
5931237,5933052,705
5931237,5929420,783
5931237,5931236,783
5931238,5931237,470
5931238,5931238,0
5931238,5931239,470
5931238,5931240,705
5931238,5933052,548
5931238,5929420,627
5931238,5931236,783
5931239,5929422,627
5931239,5929423,705
5931239,5931237,783
5931239,5931238,470
5931239,5931239,0
5931239,5931240,470
5931239,5931241,705
5931239,5933052,783
5931240,5929422,548
5931240,5929423,627
5931240,5929424,783
5931240,5931238,705
5931240,5931239,470
5931240,5931240,0
5931240,5931241,548
5931240,5931242,705
5931240,5933055,548
5931240,5934869,705
5931241,5929422,783
5931241,5931239,705
5931241,5931240,548
5931241,5931241,0
5931241,5931242,548
5931241,5933055,783
5931241,5933056,783
5931241,5933057,705
5931242,5929425,548
5931242,5929426,705
5931242,5931240,705
5931242,5931241,548
5931242,5931242,0
5931242,5931243,705
5931242,5933056,783
5931242,5933057,548
5931242,5933058,705
5931242,5933059,783
5931242,5934871,783
5931242,5934872,705
5931243,5929426,783
5931243,5931242,705
5931243,5931243,0
5931243,5931244,627
5931243,5933057,705
5931243,5933058,705
5931243,5933059,548
5931243,5933060,783
5931244,5931243,627
5931244,5931244,0
5931244,5931245,392
5931244,5931246,783
5931244,5933058,705
5931244,5933059,470
5931244,5933060,548
5931244,5933061,783
